CUSTOMER_ID,RESIDENT_ID,MY_NAME,BIRTHPLACE,BIRTHDATE,NATIONALITY,GENDER,MARITAL_STATUS,OCCUPATION,VALID_UNTIL,MOBILE_PHONE,EMAIL,PROVINCE,KABUPATEN999KOTA,KECAMATAN,KELURAHAN999DESA,RT999RW,ADDRESS,POSTAL_CODE,
32,1234432,ZAHRA,,,WNI,LAKI-LAKI,BELUM KAWIN,,,621234566,nin@nan.com,,,,,,kebon kacang 29,0,
31,mytest,MYTEST,Provinsi DKI Jakarta Beribukota di Jakarta,,WNI,LAKI-LAKI,BELUM KAWIN,,,62545535353,mytest@test.com,,,,,,MYTEST,0,
30,test123,TEST,Provinsi DKI Jakarta Beribukota di Jakarta,,WNI,LAKI-LAKI,BELUM KAWIN,,,6278678678,1@abco.com,,,,,,EEEEE,0,
29,565656,ISHWER,Provinsi DKI Jakarta Beribukota di Jakarta,11/12/2018 00.00.00,WNI,LAKI-LAKI,BELUM KAWIN,JOB,01/01/2019 00.00.00,629997840028802,myr@gmail.com,Provinsi DKI Jakarta Beribukota di Jakarta,,,,,262 NDPL GALI BEHIND,110039,
28,343434435435,454354353,Provinsi DKI Jakarta Beribukota di Jakarta,,WNI,LAKI-LAKI,BELUM KAWIN,,,6255555,4444emant.pundir@gmail.com,,,,,,262 NDPL GALI BEHIND,0,
27,12345678903333,33333,Provinsi DKI Jakarta Beribukota di Jakarta,,WNI,LAKI-LAKI,BELUM KAWIN,3333,,623333333,a@aa.co.in,Provinsi DKI Jakarta Beribukota di Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,123/456,333333,11730,
26,555555,HEM,Provinsi DKI Jakarta Beribukota di Jakarta,,WNI,LAKI-LAKI,BELUM KAWIN,JOB,,62678911,a1@a.com,Provinsi DKI Jakarta Beribukota di Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,123/456,262 NDPL GALI BEHIND,110039,
25,212345678999,HEM,Provinsi DKI Jakarta Beribukota di Jakarta,,WNI,LAKI-LAKI,BELUM KAWIN,JOB,,626789,a@a.com,Provinsi DKI Jakarta Beribukota di Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,123/456,262 NDPL GALI BEHIND,110039,
24,21234567890,TEST,Provinsi DKI Jakarta Beribukota di Jakarta,04/12/2018 00.00.00,WNI,LAKI-LAKI,BELUM KAWIN,JOB,19/12/2018 00.00.00,621234566666,abc@abc.com,Provinsi DKI Jakarta Beribukota di Jakarta,Jakarta Barat,Grol Petamburan,Grol,0001/002,TESTING,11450,
16,ktp1,name3,,,WNI,LAKI-LAKI,BELUM KAWIN,,,62813,email3@email.com,,,,,,address3,0,
15,yui,yui,,,WNI,LAKI-LAKI,BELUM KAWIN,,,62456,yui@yui.yui,,,,,,yui,0,
14,dfg,dfg,,,WNI,LAKI-LAKI,BELUM KAWIN,,,62234,fgh@fgh.fgh,,,,,,dfg,0,
13,ghj,ghj,,,WNI,LAKI-LAKI,BELUM KAWIN,,,62123,ghj@ghj.ghj,,,,,,ghj,0,
12,bnm,bnm,,,WNI,LAKI-LAKI,BELUM KAWIN,,,62890,bnm@bnm.bnm,,,,,,bnm,0,
11,zxc,zxc,,,WNI,LAKI-LAKI,BELUM KAWIN,,,62567,zxc@zxc.zxc,,,,,,zxc,0,
10,asd,asd,,,WNI,LAKI-LAKI,BELUM KAWIN,,,628989101288,asd@asd.com,,,,,,asd,0,
8,,Sanrego,,,WNI,LAKI-LAKI,BELUM KAWIN,,,6281232990720,habiebhussein@outlook.com,,,,,,,,
9,,Wiryo,,,WNI,LAKI-LAKI,BELUM KAWIN,,,628989101288,wiryo.harto@gmail.com,,,,,,,,
4,,Danang,,,WNI,LAKI-LAKI,BELUM KAWIN,,,6282245996380,anugrah.sandy@balitower.co.id,,,,,,,,
3,,Owen ,,,WNI,LAKI-LAKI,BELUM KAWIN,,,6281510525555,anugrah.sandy@balitower.co.id,,,,,,,,
2,,Chaidir,,,WNI,LAKI-LAKI,BELUM KAWIN,,,6282114794499,chaidir@balitower.co.id,,,,,,,,
6,,Sandy,,,WNI,LAKI-LAKI,BELUM KAWIN,,,6287883811222,anugrah.sandy@balitower.co.id,,,,,,,,
7,,Suwari ,,,WNI,LAKI-LAKI,BELUM KAWIN,,,6285288911191,anugrah.sandy@balitower.co.id,,,,,,,,
5,,Makmur,,,WNI,LAKI-LAKI,BELUM KAWIN,,,628999933319,anugrah.sandy@balitower.co.id,,,,,,,,
1,,Habieb,,,WNI,LAKI-LAKI,BELUM KAWIN,,,6287855595699,anugrah.sandy@balitower.co.id,,,,,,,,
